epoch,step,train/accuracy,train/f1,train/loss,val/accuracy,val/f1,val/loss
0,636,,,,0.3640180826187134,0.23311395943164825,1.9999765157699585
0,636,0.24932542443275452,0.10600238293409348,2.6159279346466064,,,
1,1273,,,,0.4983850121498108,0.4031103253364563,1.4119890928268433
1,1273,0.3380758464336395,0.24824218451976776,1.9943641424179077,,,
2,1910,,,,0.6824935674667358,0.585412323474884,1.0578497648239136
2,1910,0.408870130777359,0.3667064905166626,1.6777793169021606,,,
3,2547,,,,0.7302971482276917,0.6776050925254822,0.9804684519767761
3,2547,0.46249324083328247,0.44291746616363525,1.4872528314590454,,,
4,3184,,,,0.7784237861633301,0.7146895527839661,0.8072731494903564
4,3184,0.4952656626701355,0.4991748631000519,1.35719895362854,,,
5,3821,,,,0.7445090413093567,0.6681087613105774,0.7340615391731262
5,3821,0.5366236567497253,0.5438254475593567,1.2456134557724,,,
6,4458,,,,0.8020026087760925,0.7467380166053772,0.6715222597122192
6,4458,0.5553647875785828,0.5763838291168213,1.1805882453918457,,,
7,5095,,,,0.8656330704689026,0.811901330947876,0.5523629784584045
7,5095,0.5755776762962341,0.6051658391952515,1.1211345195770264,,,
8,5732,,,,0.8782299757003784,0.8162550926208496,0.5922204256057739
8,5732,0.5967718362808228,0.6291877031326294,1.0490281581878662,,,
9,6369,,,,0.8420542478561401,0.7813495993614197,0.5880254507064819
9,6369,0.6164450645446777,0.6510554552078247,0.9869886040687561,,,
